mes_ano,dezenas_combinadas,count_combinacao_MMYY
01/2010,21-30|21-30|21-30|31-40|41-50|51-60,1
01/2011,1-10|1-10|11-20|21-30|31-40|51-60,1
01/2011,1-10|1-10|21-30|31-40|51-60|51-60,1
01/2011,1-10|1-10|31-40|31-40|51-60|51-60,1
01/2011,1-10|11-20|21-30|41-50|41-50|51-60,1
01/2011,1-10|11-20|31-40|31-40|41-50|51-60,1
01/2011,1-10|21-30|31-40|41-50|41-50|51-60,1
01/2011,1-10|31-40|31-40|41-50|51-60|51-60,1
01/2011,11-20|31-40|31-40|51-60|51-60|51-60,1
01/2012,1-10|1-10|31-40|41-50|41-50|41-50,1
01/2012,1-10|11-20|11-20|21-30|31-40|41-50,1
01/2012,1-10|11-20|11-20|31-40|31-40|41-50,1
01/2012,1-10|11-20|21-30|21-30|31-40|41-50,1
01/2012,1-10|11-20|21-30|21-30|51-60|51-60,1
01/2012,1-10|11-20|21-30|31-40|31-40|51-60,1
01/2012,11-20|11-20|21-30|31-40|41-50|41-50,1
01/2012,11-20|31-40|31-40|41-50|41-50|51-60,1
01/2013,1-10|1-10|11-20|21-30|31-40|31-40,1
01/2013,1-10|1-10|11-20|31-40|41-50|51-60,1
01/2013,1-10|1-10|21-30|21-30|31-40|31-40,1
01/2013,1-10|1-10|21-30|31-40|31-40|51-60,1
01/2013,1-10|11-20|21-30|31-40|41-50|51-60,1
01/2013,1-10|21-30|31-40|41-50|51-60|51-60,1
01/2013,11-20|11-20|31-40|41-50|41-50|51-60,1
01/2013,11-20|21-30|21-30|21-30|31-40|41-50,1
01/2013,31-40|31-40|41-50|41-50|41-50|51-60,1
01/2014,1-10|1-10|11-20|11-20|31-40|41-50,1
01/2014,1-10|1-10|11-20|31-40|31-40|51-60,1
01/2014,1-10|11-20|11-20|31-40|41-50|51-60,1
01/2014,1-10|11-20|21-30|31-40|41-50|51-60,2
01/2014,11-20|21-30|21-30|21-30|41-50|51-60,1
01/2014,11-20|31-40|31-40|41-50|41-50|51-60,1
