mes_ano,dezenas_combinadas,count_combinacao_MMYY
02/2024,11-20|21-30|41-50|41-50|41-50|51-60,1
02/2025,1-10|1-10|11-20|11-20|31-40|41-50,1
02/2025,1-10|1-10|11-20|11-20|31-40|51-60,1
02/2025,1-10|1-10|11-20|51-60|51-60|51-60,1
02/2025,1-10|1-10|31-40|31-40|41-50|51-60,1
02/2025,1-10|11-20|11-20|21-30|21-30|31-40,1
02/2025,1-10|11-20|11-20|21-30|41-50|51-60,1
02/2025,1-10|11-20|21-30|31-40|51-60|51-60,1
02/2025,1-10|11-20|31-40|41-50|51-60|51-60,1
02/2025,1-10|21-30|31-40|31-40|51-60|51-60,1
02/2025,1-10|31-40|41-50|51-60|51-60|51-60,1
02/2025,11-20|21-30|21-30|51-60|51-60|51-60,1
02/2025,11-20|21-30|31-40|41-50|51-60|51-60,1
02/2026,1-10|1-10|1-10|11-20|11-20|31-40,1
02/2026,1-10|1-10|1-10|21-30|21-30|41-50,1
02/2026,1-10|1-10|11-20|11-20|31-40|31-40,1
02/2026,1-10|1-10|11-20|11-20|41-50|41-50,1
02/2026,1-10|1-10|11-20|31-40|41-50|41-50,1
02/2026,1-10|1-10|11-20|41-50|41-50|51-60,1
02/2026,1-10|11-20|21-30|21-30|31-40|41-50,1
02/2026,1-10|11-20|21-30|31-40|31-40|51-60,1
02/2026,1-10|21-30|31-40|31-40|41-50|51-60,1
02/2026,11-20|21-30|21-30|31-40|41-50|41-50,1
02/2026,21-30|31-40|31-40|41-50|41-50|51-60,1
03/1996,1-10|1-10|21-30|31-40|41-50|51-60,1
03/1996,1-10|11-20|21-30|21-30|31-40|41-50,1
03/1996,1-10|31-40|31-40|41-50|41-50|41-50,1
03/1997,1-10|1-10|11-20|21-30|31-40|51-60,1
03/1997,1-10|1-10|11-20|31-40|51-60|51-60,1
03/1997,1-10|11-20|11-20|31-40|41-50|41-50,1
03/1997,1-10|11-20|21-30|21-30|31-40|51-60,1
03/1997,11-20|21-30|31-40|41-50|51-60|51-60,1
03/1998,1-10|1-10|11-20|21-30|31-40|51-60,1
03/1998,1-10|1-10|11-20|21-30|51-60|51-60,1
03/1998,1-10|11-20|21-30|31-40|31-40|31-40,1
03/1998,1-10|11-20|31-40|41-50|41-50|41-50,1
03/1998,21-30|21-30|21-30|31-40|51-60|51-60,1
03/1999,1-10|11-20|11-20|21-30|41-50|41-50,1
03/1999,1-10|11-20|11-20|31-40|41-50|51-60,1
03/1999,1-10|11-20|11-20|41-50|51-60|51-60,1
03/1999,1-10|11-20|41-50|51-60|51-60|51-60,1
03/2000,1-10|11-20|21-30|41-50|51-60|51-60,1
03/2000,1-10|11-20|31-40|31-40|41-50|41-50,1
03/2000,11-20|21-30|21-30|31-40|41-50|51-60,1
03/2000,11-20|31-40|31-40|31-40|41-50|51-60,1
03/2001,1-10|1-10|11-20|21-30|31-40|31-40,1
03/2001,1-10|1-10|21-30|41-50|41-50|51-60,1
03/2001,1-10|11-20|11-20|21-30|51-60|51-60,1
03/2001,1-10|11-20|31-40|41-50|41-50|51-60,1
03/2001,11-20|11-20|41-50|51-60|51-60|51-60,1
03/2002,1-10|1-10|1-10|11-20|21-30|41-50,1
03/2002,1-10|1-10|11-20|21-30|41-50|51-60,1
03/2002,1-10|1-10|21-30|31-40|31-40|51-60,1
03/2002,1-10|11-20|11-20|31-40|31-40|31-40,1
03/2002,1-10|11-20|21-30|21-30|41-50|51-60,1
03/2002,1-10|11-20|41-50|41-50|51-60|51-60,1
03/2002,11-20|21-30|31-40|31-40|31-40|51-60,1
03/2002,11-20|21-30|31-40|41-50|51-60|51-60,1
03/2002,11-20|21-30|41-50|51-60|51-60|51-60,1
03/2003,1-10|1-10|1-10|41-50|51-60|51-60,1
03/2003,1-10|1-10|21-30|31-40|41-50|51-60,1
03/2003,1-10|11-20|11-20|11-20|11-20|41-50,1
03/2003,1-10|11-20|21-30|31-40|31-40|51-60,1
03/2003,1-10|11-20|31-40|31-40|41-50|51-60,1
03/2003,1-10|21-30|31-40|41-50|51-60|51-60,1
03/2003,11-20|11-20|21-30|31-40|41-50|51-60,1
03/2003,11-20|21-30|21-30|31-40|41-50|51-60,1
03/2004,1-10|1-10|11-20|11-20|41-50|51-60,1
03/2004,1-10|1-10|11-20|21-30|31-40|41-50,1
03/2004,1-10|11-20|21-30|21-30|51-60|51-60,1
03/2004,1-10|11-20|21-30|41-50|51-60|51-60,1
03/2004,11-20|11-20|31-40|31-40|41-50|51-60,2
03/2004,11-20|21-30|31-40|31-40|41-50|51-60,1
03/2004,11-20|41-50|41-50|51-60|51-60|51-60,1
03/2004,31-40|31-40|41-50|41-50|41-50|51-60,1
03/2005,1-10|11-20|31-40|41-50|41-50|51-60,1
03/2005,1-10|21-30|21-30|21-30|51-60|51-60,1
03/2005,1-10|21-30|21-30|41-50|41-50|41-50,1
03/2005,1-10|21-30|31-40|41-50|41-50|51-60,1
03/2005,1-10|21-30|41-50|51-60|51-60|51-60,1
03/2005,11-20|11-20|11-20|11-20|51-60|51-60,1
03/2005,11-20|21-30|21-30|31-40|31-40|51-60,1
03/2005,11-20|21-30|31-40|31-40|41-50|41-50,1
03/2005,21-30|21-30|31-40|41-50|41-50|51-60,1
03/2006,1-10|1-10|1-10|11-20|31-40|51-60,1
03/2006,1-10|1-10|11-20|21-30|21-30|51-60,1
03/2006,1-10|1-10|11-20|21-30|41-50|51-60,1
03/2006,1-10|1-10|11-20|31-40|41-50|41-50,1
03/2006,1-10|11-20|21-30|21-30|31-40|41-50,1
03/2006,1-10|11-20|21-30|31-40|41-50|51-60,1
03/2006,1-10|11-20|31-40|41-50|51-60|51-60,1
03/2006,1-10|21-30|41-50|41-50|41-50|51-60,1
03/2006,11-20|21-30|21-30|31-40|51-60|51-60,1
03/2007,1-10|1-10|31-40|41-50|41-50|51-60,1
03/2007,1-10|1-10|41-50|41-50|41-50|51-60,1
03/2007,1-10|11-20|11-20|31-40|31-40|51-60,1
03/2007,1-10|11-20|21-30|21-30|21-30|41-50,1
03/2007,1-10|11-20|21-30|31-40|31-40|41-50,1
03/2007,1-10|21-30|21-30|41-50|51-60|51-60,1
03/2007,11-20|11-20|21-30|41-50|41-50|41-50,1
03/2007,11-20|21-30|31-40|31-40|41-50|51-60,1
03/2007,21-30|31-40|41-50|51-60|51-60|51-60,1
03/2008,1-10|1-10|11-20|21-30|31-40|51-60,1
03/2008,1-10|11-20|11-20|21-30|21-30|51-60,1
03/2008,1-10|11-20|21-30|31-40|31-40|31-40,1
03/2008,1-10|11-20|31-40|41-50|41-50|51-60,1
03/2008,1-10|21-30|41-50|41-50|51-60|51-60,1
03/2008,11-20|21-30|31-40|31-40|41-50|51-60,1
03/2008,21-30|41-50|41-50|41-50|41-50|51-60,1
03/2008,21-30|41-50|41-50|41-50|51-60|51-60,1
03/2008,41-50|41-50|51-60|51-60|51-60|51-60,1
03/2009,1-10|1-10|1-10|11-20|41-50|51-60,1
03/2009,1-10|1-10|11-20|11-20|41-50|41-50,1
03/2009,1-10|1-10|31-40|41-50|51-60|51-60,1
03/2009,1-10|11-20|11-20|11-20|31-40|41-50,1
03/2009,11-20|11-20|11-20|11-20|21-30|31-40,1
03/2009,11-20|11-20|11-20|21-30|41-50|51-60,1
03/2009,11-20|11-20|21-30|41-50|51-60|51-60,1
03/2009,11-20|21-30|31-40|41-50|41-50|51-60,1
03/2010,1-10|1-10|1-10|11-20|31-40|41-50,1
03/2010,1-10|1-10|31-40|41-50|51-60|51-60,1
03/2010,1-10|1-10|41-50|41-50|41-50|51-60,1
03/2010,1-10|11-20|11-20|21-30|31-40|41-50,1
03/2010,1-10|11-20|31-40|41-50|51-60|51-60,1
03/2010,11-20|21-30|21-30|21-30|31-40|41-50,1
03/2010,11-20|31-40|41-50|51-60|51-60|51-60,1
03/2010,21-30|21-30|21-30|31-40|31-40|51-60,1
03/2010,21-30|21-30|31-40|51-60|51-60|51-60,1
03/2011,1-10|1-10|1-10|1-10|11-20|31-40,1
03/2011,1-10|1-10|11-20|11-20|21-30|51-60,1
03/2011,1-10|1-10|21-30|31-40|31-40|41-50,1
03/2011,1-10|1-10|31-40|31-40|41-50|51-60,1
03/2011,1-10|11-20|11-20|41-50|51-60|51-60,1
03/2011,1-10|11-20|21-30|31-40|41-50|51-60,1
03/2011,1-10|11-20|21-30|41-50|41-50|51-60,1
03/2011,1-10|11-20|31-40|31-40|51-60|51-60,1
03/2011,11-20|11-20|21-30|41-50|41-50|51-60,1
03/2012,1-10|1-10|1-10|11-20|41-50|41-50,1
03/2012,1-10|1-10|1-10|21-30|41-50|51-60,1
03/2012,1-10|1-10|11-20|21-30|31-40|41-50,1
03/2012,1-10|11-20|21-30|31-40|31-40|41-50,1
03/2012,1-10|11-20|21-30|41-50|51-60|51-60,1
03/2012,1-10|21-30|21-30|21-30|31-40|31-40,1
03/2012,1-10|21-30|21-30|31-40|31-40|41-50,1
03/2012,1-10|21-30|31-40|51-60|51-60|51-60,1
03/2012,1-10|31-40|31-40|41-50|51-60|51-60,1
03/2012,11-20|21-30|21-30|41-50|51-60|51-60,1
03/2013,1-10|1-10|1-10|11-20|21-30|41-50,1
03/2013,1-10|1-10|21-30|31-40|41-50|51-60,1
03/2013,1-10|1-10|41-50|41-50|51-60|51-60,1
03/2013,1-10|11-20|21-30|21-30|31-40|51-60,1
03/2013,1-10|11-20|31-40|51-60|51-60|51-60,1
03/2013,1-10|21-30|31-40|31-40|41-50|51-60,1
03/2013,11-20|11-20|31-40|41-50|41-50|51-60,1
03/2013,11-20|21-30|21-30|31-40|41-50|51-60,1
03/2013,21-30|41-50|41-50|51-60|51-60|51-60,1
03/2014,1-10|1-10|11-20|11-20|31-40|31-40,1
03/2014,1-10|1-10|11-20|11-20|31-40|41-50,1
03/2014,1-10|1-10|11-20|11-20|41-50|41-50,1
03/2014,1-10|1-10|21-30|31-40|51-60|51-60,1
03/2014,1-10|21-30|21-30|21-30|41-50|51-60,1
03/2014,1-10|31-40|41-50|41-50|41-50|51-60,1
03/2014,1-10|41-50|41-50|41-50|41-50|51-60,1
03/2014,11-20|11-20|21-30|21-30|31-40|31-40,1
03/2014,21-30|31-40|31-40|41-50|51-60|51-60,1
03/2015,1-10|1-10|11-20|21-30|41-50|51-60,1
03/2015,1-10|11-20|11-20|31-40|31-40|41-50,1
03/2015,1-10|11-20|31-40|31-40|31-40|41-50,1
03/2015,1-10|11-20|31-40|31-40|41-50|51-60,1
03/2015,1-10|11-20|31-40|41-50|41-50|51-60,1
03/2015,11-20|21-30|21-30|31-40|41-50|51-60,1
03/2015,11-20|21-30|31-40|41-50|41-50|51-60,1
03/2015,21-30|21-30|21-30|31-40|41-50|51-60,1
03/2016,1-10|1-10|1-10|31-40|51-60|51-60,1
03/2016,1-10|1-10|11-20|11-20|11-20|41-50,1
03/2016,1-10|1-10|21-30|21-30|41-50|51-60,1
03/2016,1-10|1-10|21-30|31-40|41-50|41-50,1
03/2016,1-10|11-20|11-20|11-20|31-40|51-60,1
03/2016,1-10|11-20|11-20|31-40|51-60|51-60,1
03/2016,1-10|11-20|31-40|41-50|41-50|51-60,1
03/2016,11-20|21-30|21-30|41-50|41-50|51-60,1
03/2016,21-30|21-30|31-40|41-50|51-60|51-60,1
03/2016,21-30|41-50|41-50|41-50|51-60|51-60,1
03/2017,1-10|1-10|11-20|21-30|21-30|51-60,1
03/2017,1-10|1-10|11-20|21-30|31-40|41-50,1
03/2017,1-10|1-10|11-20|21-30|41-50|51-60,1
03/2017,1-10|11-20|11-20|41-50|51-60|51-60,1
03/2017,1-10|11-20|21-30|31-40|41-50|51-60,1
03/2017,1-10|11-20|31-40|31-40|31-40|41-50,1
03/2017,11-20|11-20|21-30|21-30|31-40|31-40,1
03/2017,11-20|21-30|31-40|31-40|41-50|41-50,1
03/2017,11-20|31-40|41-50|41-50|41-50|51-60,1
03/2018,1-10|1-10|1-10|1-10|21-30|51-60,1
03/2018,1-10|11-20|31-40|31-40|31-40|51-60,1
03/2018,1-10|21-30|31-40|31-40|51-60|51-60,1
03/2018,1-10|21-30|41-50|41-50|51-60|51-60,1
03/2018,1-10|21-30|41-50|51-60|51-60|51-60,1
03/2018,1-10|31-40|41-50|41-50|51-60|51-60,1
03/2018,11-20|11-20|21-30|21-30|31-40|41-50,1
03/2018,11-20|11-20|21-30|31-40|31-40|41-50,1
03/2018,21-30|41-50|41-50|51-60|51-60|51-60,1
03/2019,1-10|1-10|1-10|11-20|11-20|21-30,1
03/2019,1-10|1-10|11-20|11-20|31-40|41-50,1
03/2019,1-10|1-10|11-20|21-30|21-30|31-40,1
03/2019,1-10|11-20|11-20|21-30|21-30|31-40,1
03/2019,1-10|11-20|21-30|31-40|31-40|51-60,1
03/2019,1-10|21-30|21-30|31-40|41-50|51-60,1
03/2019,1-10|21-30|31-40|41-50|51-60|51-60,1
03/2019,11-20|11-20|21-30|51-60|51-60|51-60,1
03/2019,11-20|11-20|31-40|51-60|51-60|51-60,1
03/2020,1-10|1-10|1-10|11-20|21-30|51-60,1
03/2020,1-10|1-10|11-20|21-30|21-30|41-50,1
03/2020,1-10|1-10|11-20|31-40|31-40|41-50,1
03/2020,1-10|1-10|21-30|21-30|31-40|41-50,1
03/2020,1-10|11-20|11-20|21-30|31-40|51-60,1
03/2020,1-10|21-30|31-40|31-40|41-50|41-50,1
03/2020,1-10|41-50|41-50|41-50|41-50|51-60,1
03/2020,11-20|11-20|11-20|11-20|31-40|31-40,1
03/2020,11-20|11-20|21-30|31-40|31-40|51-60,1
03/2021,1-10|1-10|21-30|31-40|41-50|51-60,1
03/2021,1-10|1-10|21-30|31-40|51-60|51-60,1
03/2021,1-10|11-20|21-30|21-30|41-50|51-60,1
03/2021,1-10|11-20|31-40|41-50|41-50|51-60,2
03/2021,1-10|21-30|31-40|41-50|41-50|51-60,1
03/2021,11-20|21-30|21-30|31-40|31-40|51-60,1
03/2021,11-20|21-30|31-40|41-50|41-50|41-50,1
03/2021,21-30|21-30|21-30|31-40|41-50|41-50,1
03/2022,1-10|1-10|11-20|11-20|51-60|51-60,1
03/2022,1-10|1-10|11-20|31-40|31-40|41-50,1
03/2022,1-10|1-10|21-30|21-30|51-60|51-60,1
03/2022,1-10|1-10|21-30|41-50|51-60|51-60,1
03/2022,1-10|11-20|11-20|21-30|31-40|31-40,1
03/2022,1-10|11-20|21-30|41-50|41-50|51-60,1
03/2022,11-20|11-20|11-20|21-30|31-40|41-50,1
03/2022,11-20|11-20|31-40|31-40|41-50|51-60,1
03/2022,11-20|21-30|31-40|41-50|51-60|51-60,1
03/2023,1-10|1-10|11-20|21-30|21-30|41-50,1
03/2023,1-10|1-10|21-30|21-30|31-40|51-60,1
03/2023,1-10|11-20|11-20|41-50|41-50|51-60,1
03/2023,1-10|11-20|21-30|21-30|41-50|41-50,1
03/2023,1-10|11-20|31-40|31-40|41-50|51-60,1
03/2023,1-10|21-30|31-40|31-40|31-40|41-50,1
03/2023,11-20|11-20|21-30|31-40|41-50|41-50,1
03/2023,11-20|11-20|41-50|41-50|41-50|51-60,1
03/2023,21-30|31-40|31-40|31-40|31-40|41-50,1
03/2023,31-40|31-40|41-50|41-50|51-60|51-60,1
03/2024,1-10|1-10|1-10|21-30|31-40|51-60,1
03/2024,1-10|1-10|11-20|31-40|31-40|51-60,1
03/2024,1-10|11-20|11-20|11-20|21-30|41-50,1
03/2024,1-10|11-20|11-20|21-30|21-30|41-50,2
03/2024,1-10|11-20|11-20|31-40|31-40|41-50,2
03/2024,1-10|11-20|11-20|31-40|41-50|51-60,1
03/2024,1-10|11-20|11-20|31-40|51-60|51-60,1
03/2024,1-10|11-20|21-30|21-30|31-40|41-50,1
03/2024,1-10|21-30|31-40|41-50|51-60|51-60,1
03/2024,11-20|11-20|31-40|31-40|31-40|31-40,1
03/2025,1-10|1-10|1-10|21-30|41-50|41-50,1
03/2025,1-10|1-10|11-20|31-40|31-40|41-50,1
03/2025,1-10|1-10|21-30|31-40|31-40|51-60,1
03/2025,1-10|1-10|41-50|51-60|51-60|51-60,1
03/2025,1-10|11-20|11-20|11-20|21-30|51-60,1
03/2025,1-10|11-20|31-40|31-40|41-50|41-50,1
03/2025,1-10|11-20|31-40|51-60|51-60|51-60,1
03/2025,1-10|21-30|21-30|31-40|41-50|51-60,1
03/2025,1-10|31-40|31-40|31-40|41-50|51-60,1
03/2025,1-10|31-40|31-40|41-50|51-60|51-60,1
03/2025,1-10|31-40|31-40|51-60|51-60|51-60,1
03/2025,21-30|21-30|31-40|31-40|41-50|41-50,1
03/2026,1-10|1-10|11-20|21-30|41-50|51-60,1
03/2026,1-10|1-10|21-30|31-40|41-50|51-60,1
03/2026,1-10|11-20|11-20|21-30|21-30|41-50,1
03/2026,1-10|11-20|11-20|21-30|31-40|51-60,1
03/2026,1-10|11-20|11-20|21-30|41-50|51-60,1
03/2026,1-10|11-20|21-30|31-40|31-40|51-60,1
03/2026,1-10|11-20|21-30|31-40|41-50|41-50,1
03/2026,1-10|11-20|21-30|31-40|51-60|51-60,1
03/2026,1-10|31-40|41-50|41-50|41-50|51-60,1
03/2026,11-20|11-20|11-20|21-30|41-50|41-50,1
03/2026,11-20|21-30|21-30|31-40|41-50|51-60,1
03/2026,11-20|21-30|31-40|41-50|41-50|51-60,1
03/2026,21-30|21-30|21-30|31-40|51-60|51-60,1
04/1996,1-10|1-10|1-10|11-20|11-20|41-50,1
04/1996,1-10|1-10|1-10|21-30|41-50|51-60,1
04/1996,1-10|1-10|11-20|21-30|31-40|51-60,1
04/1996,1-10|11-20|11-20|21-30|31-40|41-50,1
04/1996,1-10|11-20|31-40|31-40|41-50|51-60,1
04/1997,1-10|1-10|11-20|21-30|31-40|51-60,1
04/1997,1-10|11-20|11-20|11-20|21-30|31-40,1
04/1997,1-10|11-20|11-20|21-30|31-40|51-60,1
04/1997,11-20|21-30|21-30|31-40|41-50|41-50,1
04/1998,1-10|11-20|41-50|41-50|41-50|51-60,1
04/1998,1-10|21-30|21-30|31-40|31-40|51-60,1
04/1998,11-20|11-20|31-40|31-40|41-50|41-50,1
04/1998,11-20|31-40|41-50|51-60|51-60|51-60,1
04/1999,1-10|1-10|11-20|11-20|21-30|41-50,1
04/1999,1-10|21-30|21-30|31-40|31-40|41-50,1
04/1999,1-10|21-30|31-40|41-50|51-60|51-60,1
04/1999,21-30|21-30|31-40|31-40|41-50|51-60,1
04/2000,1-10|1-10|21-30|21-30|31-40|31-40,1
04/2000,1-10|11-20|21-30|31-40|31-40|41-50,1
04/2000,1-10|21-30|31-40|41-50|41-50|51-60,1
04/2000,1-10|21-30|31-40|41-50|51-60|51-60,1
04/2000,11-20|11-20|21-30|31-40|41-50|51-60,1
04/2001,1-10|1-10|1-10|21-30|31-40|41-50,1
04/2001,1-10|1-10|41-50|41-50|51-60|51-60,1
04/2001,1-10|21-30|31-40|41-50|41-50|51-60,1
04/2001,11-20|11-20|11-20|21-30|41-50|51-60,1
04/2002,1-10|11-20|21-30|21-30|31-40|51-60,1
04/2002,1-10|11-20|21-30|21-30|41-50|51-60,1
04/2002,1-10|11-20|21-30|41-50|41-50|41-50,1
04/2002,1-10|11-20|21-30|51-60|51-60|51-60,1
04/2002,1-10|11-20|31-40|31-40|41-50|51-60,1
04/2002,1-10|21-30|31-40|31-40|41-50|51-60,1
04/2002,11-20|11-20|21-30|41-50|51-60|51-60,1
04/2002,11-20|21-30|21-30|41-50|51-60|51-60,1
04/2003,1-10|1-10|11-20|41-50|51-60|51-60,1
04/2003,1-10|11-20|11-20|11-20|41-50|51-60,1
04/2003,1-10|11-20|21-30|21-30|31-40|31-40,1
04/2003,1-10|11-20|21-30|31-40|51-60|51-60,1
04/2003,1-10|11-20|21-30|41-50|41-50|51-60,1
04/2003,11-20|11-20|21-30|21-30|31-40|41-50,1
04/2003,11-20|11-20|21-30|21-30|31-40|51-60,1
04/2003,11-20|11-20|21-30|31-40|51-60|51-60,1
04/2003,11-20|21-30|31-40|31-40|41-50|51-60,1
04/2004,1-10|1-10|11-20|21-30|31-40|41-50,1
04/2004,1-10|11-20|11-20|21-30|31-40|41-50,1
04/2004,1-10|11-20|31-40|51-60|51-60|51-60,1
04/2004,1-10|21-30|31-40|31-40|41-50|41-50,1
04/2004,1-10|21-30|41-50|41-50|51-60|51-60,1
04/2004,1-10|41-50|41-50|51-60|51-60|51-60,1
04/2004,11-20|21-30|31-40|41-50|41-50|51-60,1
04/2004,11-20|21-30|41-50|41-50|51-60|51-60,1
04/2005,1-10|1-10|11-20|11-20|31-40|41-50,1
04/2005,1-10|1-10|11-20|21-30|31-40|31-40,1
04/2005,1-10|1-10|11-20|31-40|41-50|51-60,1
04/2005,1-10|11-20|11-20|21-30|51-60|51-60,1
04/2005,1-10|11-20|31-40|41-50|51-60|51-60,1
04/2005,1-10|21-30|31-40|31-40|41-50|41-50,1
04/2005,11-20|11-20|31-40|51-60|51-60|51-60,1
04/2005,11-20|21-30|31-40|31-40|51-60|51-60,1
04/2005,31-40|31-40|31-40|41-50|51-60|51-60,1
04/2006,1-10|1-10|11-20|21-30|31-40|41-50,1
04/2006,1-10|1-10|11-20|31-40|41-50|41-50,1
04/2006,1-10|1-10|21-30|31-40|41-50|51-60,1
04/2006,1-10|11-20|21-30|41-50|41-50|51-60,1
04/2006,1-10|21-30|21-30|21-30|21-30|41-50,1
04/2006,1-10|21-30|31-40|31-40|41-50|41-50,1
04/2006,1-10|21-30|31-40|41-50|41-50|51-60,1
04/2006,11-20|11-20|11-20|21-30|31-40|51-60,1
04/2006,21-30|31-40|31-40|41-50|41-50|51-60,1
04/2007,1-10|1-10|11-20|11-20|11-20|31-40,1
04/2007,1-10|1-10|11-20|21-30|41-50|41-50,1
04/2007,1-10|1-10|11-20|41-50|41-50|51-60,1
04/2007,1-10|11-20|21-30|31-40|31-40|51-60,1
04/2007,1-10|11-20|31-40|41-50|41-50|51-60,1
04/2007,1-10|21-30|31-40|41-50|41-50|51-60,1
04/2007,11-20|11-20|31-40|41-50|41-50|41-50,1
04/2007,31-40|31-40|41-50|41-50|51-60|51-60,1
04/2008,1-10|1-10|11-20|21-30|31-40|51-60,1
04/2008,1-10|1-10|11-20|31-40|31-40|51-60,1
04/2008,1-10|11-20|11-20|21-30|31-40|41-50,1
04/2008,1-10|11-20|11-20|31-40|31-40|51-60,1
04/2008,1-10|11-20|21-30|31-40|41-50|51-60,1
04/2008,1-10|11-20|31-40|41-50|41-50|51-60,1
04/2008,1-10|21-30|31-40|31-40|51-60|51-60,1
04/2008,11-20|11-20|31-40|41-50|41-50|51-60,1
04/2008,21-30|21-30|31-40|31-40|41-50|51-60,1
04/2009,1-10|1-10|11-20|21-30|21-30|51-60,1
04/2009,1-10|1-10|21-30|31-40|31-40|51-60,1
04/2009,1-10|1-10|21-30|31-40|41-50|41-50,1
04/2009,1-10|11-20|11-20|21-30|21-30|41-50,1
04/2009,1-10|11-20|21-30|31-40|41-50|51-60,1
04/2009,1-10|11-20|21-30|41-50|41-50|51-60,1
04/2009,1-10|21-30|21-30|21-30|41-50|51-60,1
04/2009,1-10|21-30|41-50|41-50|41-50|41-50,1
04/2009,21-30|21-30|41-50|41-50|41-50|51-60,1
04/2010,1-10|1-10|11-20|11-20|31-40|41-50,1
04/2010,1-10|1-10|11-20|21-30|41-50|51-60,1
04/2010,1-10|1-10|11-20|41-50|51-60|51-60,1
04/2010,1-10|1-10|21-30|21-30|31-40|41-50,1
04/2010,1-10|1-10|31-40|41-50|51-60|51-60,1
04/2010,1-10|11-20|11-20|21-30|41-50|41-50,1
04/2010,1-10|11-20|21-30|41-50|51-60|51-60,1
04/2010,11-20|11-20|21-30|31-40|41-50|41-50,1
04/2010,11-20|21-30|41-50|51-60|51-60|51-60,1
04/2011,1-10|1-10|11-20|21-30|31-40|31-40,1
04/2011,1-10|1-10|31-40|41-50|51-60|51-60,1
04/2011,1-10|11-20|21-30|21-30|21-30|51-60,1
04/2011,1-10|11-20|21-30|31-40|31-40|31-40,1
04/2011,1-10|11-20|41-50|51-60|51-60|51-60,1
04/2011,11-20|11-20|21-30|31-40|31-40|51-60,1
04/2011,11-20|11-20|21-30|31-40|51-60|51-60,1
04/2011,11-20|11-20|31-40|41-50|51-60|51-60,1
04/2011,11-20|21-30|21-30|21-30|31-40|51-60,1
04/2012,1-10|1-10|11-20|11-20|21-30|31-40,1
04/2012,1-10|1-10|11-20|11-20|51-60|51-60,1
04/2012,1-10|1-10|21-30|41-50|41-50|51-60,1
04/2012,1-10|11-20|11-20|11-20|21-30|51-60,1
04/2012,1-10|11-20|21-30|31-40|41-50|51-60,1
04/2012,1-10|11-20|31-40|41-50|41-50|51-60,1
04/2012,1-10|11-20|51-60|51-60|51-60|51-60,1
04/2012,11-20|21-30|21-30|31-40|41-50|51-60,1
04/2013,1-10|1-10|1-10|31-40|31-40|51-60,1
04/2013,1-10|1-10|11-20|21-30|21-30|51-60,1
04/2013,1-10|1-10|11-20|31-40|41-50|51-60,1
04/2013,1-10|11-20|21-30|21-30|21-30|41-50,1
04/2013,1-10|21-30|21-30|31-40|41-50|51-60,1
04/2013,1-10|21-30|21-30|31-40|51-60|51-60,1
04/2013,1-10|31-40|31-40|51-60|51-60|51-60,1
04/2013,11-20|11-20|21-30|21-30|41-50|51-60,1
04/2014,1-10|1-10|1-10|21-30|41-50|51-60,1
04/2014,1-10|1-10|1-10|41-50|41-50|51-60,1
04/2014,1-10|1-10|11-20|11-20|21-30|31-40,1
04/2014,1-10|1-10|11-20|11-20|41-50|51-60,1
04/2014,1-10|1-10|21-30|31-40|31-40|51-60,1
04/2014,1-10|11-20|21-30|21-30|51-60|51-60,1
04/2014,1-10|11-20|31-40|31-40|41-50|51-60,1
04/2014,21-30|21-30|31-40|31-40|41-50|41-50,1
04/2014,31-40|31-40|31-40|41-50|41-50|41-50,1
04/2015,1-10|1-10|1-10|21-30|31-40|31-40,1
04/2015,1-10|1-10|21-30|31-40|41-50|51-60,1
04/2015,1-10|11-20|11-20|11-20|21-30|31-40,1
04/2015,1-10|11-20|11-20|31-40|31-40|41-50,1
04/2015,1-10|21-30|21-30|51-60|51-60|51-60,1
04/2015,11-20|11-20|11-20|21-30|41-50|51-60,1
04/2015,11-20|11-20|21-30|21-30|41-50|41-50,1
04/2015,11-20|21-30|31-40|31-40|41-50|51-60,1
04/2015,21-30|31-40|31-40|41-50|41-50|51-60,1
04/2016,1-10|1-10|21-30|41-50|41-50|51-60,1
04/2016,1-10|11-20|11-20|11-20|11-20|51-60,1
04/2016,1-10|11-20|11-20|21-30|21-30|41-50,1
04/2016,1-10|11-20|11-20|21-30|41-50|41-50,1
04/2016,1-10|11-20|21-30|21-30|41-50|51-60,1
04/2016,1-10|11-20|31-40|31-40|31-40|51-60,1
04/2016,11-20|11-20|31-40|41-50|51-60|51-60,1
04/2016,11-20|21-30|21-30|31-40|41-50|51-60,1
04/2016,11-20|21-30|31-40|31-40|31-40|41-50,1
04/2017,1-10|11-20|11-20|11-20|21-30|31-40,1
04/2017,1-10|11-20|31-40|41-50|41-50|41-50,1
04/2017,1-10|21-30|21-30|31-40|31-40|41-50,1
04/2017,1-10|31-40|41-50|41-50|41-50|51-60,1
04/2017,11-20|11-20|11-20|21-30|31-40|41-50,1
04/2017,11-20|11-20|21-30|51-60|51-60|51-60,1
04/2017,11-20|21-30|31-40|31-40|41-50|41-50,1
04/2017,11-20|21-30|31-40|41-50|51-60|51-60,1
04/2017,21-30|31-40|31-40|31-40|41-50|41-50,1
04/2018,1-10|1-10|11-20|11-20|21-30|51-60,1
04/2018,1-10|11-20|11-20|11-20|31-40|51-60,1
04/2018,1-10|11-20|11-20|31-40|31-40|31-40,1
04/2018,1-10|11-20|21-30|31-40|41-50|51-60,1
