mes_ano,faixa_Bola1,count_faixa_bola1,faixa_Bola2,count_faixa_bola2,faixa_Bola3,count_faixa_bola3,faixa_Bola4,count_faixa_bola4,faixa_Bola5,count_faixa_bola5,faixa_Bola6,count_faixa_bola6
09/2021,1-10,8,,,,,,,,,,
09/2021,11-20,1,,,,,,,,,,
09/2021,21-30,1,,,,,,,,,,
09/2022,1-10,8,,,,,,,,,,
09/2022,21-30,1,,,,,,,,,,
09/2023,1-10,9,,,,,,,,,,
09/2023,11-20,3,,,,,,,,,,
09/2024,1-10,7,,,,,,,,,,
09/2024,11-20,3,,,,,,,,,,
09/2024,21-30,1,,,,,,,,,,
09/2025,1-10,9,,,,,,,,,,
09/2025,11-20,3,,,,,,,,,,
09/2025,21-30,1,,,,,,,,,,
10/1996,1-10,2,,,,,,,,,,
10/1996,11-20,2,,,,,,,,,,
10/1997,1-10,4,,,,,,,,,,
10/1998,1-10,3,,,,,,,,,,
10/1998,11-20,1,,,,,,,,,,
10/1998,21-30,1,,,,,,,,,,
10/1999,1-10,4,,,,,,,,,,
10/1999,11-20,1,,,,,,,,,,
10/2000,1-10,1,,,,,,,,,,
10/2000,11-20,2,,,,,,,,,,
10/2000,21-30,1,,,,,,,,,,
10/2001,1-10,6,,,,,,,,,,
10/2001,11-20,3,,,,,,,,,,
10/2002,1-10,5,,,,,,,,,,
10/2002,11-20,3,,,,,,,,,,
10/2002,21-30,1,,,,,,,,,,
10/2003,1-10,7,,,,,,,,,,
10/2003,11-20,1,,,,,,,,,,
10/2003,21-30,1,,,,,,,,,,
10/2004,1-10,6,,,,,,,,,,
10/2004,11-20,2,,,,,,,,,,
10/2004,21-30,1,,,,,,,,,,
10/2005,1-10,8,,,,,,,,,,
10/2006,1-10,7,,,,,,,,,,
10/2006,11-20,1,,,,,,,,,,
10/2007,1-10,6,,,,,,,,,,
10/2007,11-20,3,,,,,,,,,,
10/2008,1-10,8,,,,,,,,,,
10/2008,11-20,1,,,,,,,,,,
10/2009,1-10,7,,,,,,,,,,
10/2009,11-20,1,,,,,,,,,,
10/2009,21-30,1,,,,,,,,,,
10/2010,1-10,6,,,,,,,,,,
10/2010,11-20,2,,,,,,,,,,
10/2010,31-40,1,,,,,,,,,,
10/2011,1-10,7,,,,,,,,,,
10/2011,11-20,2,,,,,,,,,,
10/2012,1-10,7,,,,,,,,,,
10/2012,11-20,1,,,,,,,,,,
10/2012,21-30,1,,,,,,,,,,
10/2013,1-10,7,,,,,,,,,,
10/2013,11-20,1,,,,,,,,,,
10/2013,21-30,1,,,,,,,,,,
10/2014,1-10,4,,,,,,,,,,
10/2014,11-20,4,,,,,,,,,,
10/2014,21-30,1,,,,,,,,,,
10/2015,1-10,7,,,,,,,,,,
10/2015,11-20,3,,,,,,,,,,
10/2016,1-10,6,,,,,,,,,,
10/2016,11-20,4,,,,,,,,,,
10/2017,1-10,6,,,,,,,,,,
10/2017,11-20,2,,,,,,,,,,
10/2017,21-30,1,,,,,,,,,,
10/2018,1-10,8,,,,,,,,,,
10/2018,11-20,2,,,,,,,,,,
10/2019,1-10,5,,,,,,,,,,
10/2019,11-20,5,,,,,,,,,,
10/2020,1-10,8,,,,,,,,,,
10/2020,11-20,2,,,,,,,,,,
10/2021,1-10,9,,,,,,,,,,
10/2021,11-20,1,,,,,,,,,,
10/2022,1-10,7,,,,,,,,,,
10/2022,11-20,2,,,,,,,,,,
10/2022,21-30,1,,,,,,,,,,
10/2023,1-10,9,,,,,,,,,,
10/2023,11-20,2,,,,,,,,,,
10/2024,1-10,7,,,,,,,,,,
10/2024,11-20,1,,,,,,,,,,
10/2024,21-30,3,,,,,,,,,,
10/2025,1-10,10,,,,,,,,,,
10/2025,11-20,3,,,,,,,,,,
11/1996,1-10,4,,,,,,,,,,
11/1997,1-10,4,,,,,,,,,,
11/1997,11-20,1,,,,,,,,,,
11/1998,1-10,4,,,,,,,,,,
11/1999,1-10,3,,,,,,,,,,
11/1999,21-30,1,,,,,,,,,,
11/2000,1-10,3,,,,,,,,,,
11/2000,11-20,1,,,,,,,,,,
11/2001,1-10,3,,,,,,,,,,
11/2001,11-20,4,,,,,,,,,,
11/2001,21-30,1,,,,,,,,,,
11/2002,1-10,8,,,,,,,,,,
11/2002,11-20,1,,,,,,,,,,
11/2003,1-10,7,,,,,,,,,,
11/2003,11-20,2,,,,,,,,,,
11/2004,1-10,6,,,,,,,,,,
11/2004,11-20,2,,,,,,,,,,
11/2005,1-10,8,,,,,,,,,,
11/2006,1-10,7,,,,,,,,,,
11/2006,11-20,2,,,,,,,,,,
11/2007,1-10,6,,,,,,,,,,
11/2007,11-20,1,,,,,,,,,,
11/2007,21-30,1,,,,,,,,,,
11/2008,1-10,8,,,,,,,,,,
11/2008,11-20,1,,,,,,,,,,
11/2009,1-10,7,,,,,,,,,,
11/2009,11-20,1,,,,,,,,,,
11/2010,1-10,6,,,,,,,,,,
11/2010,11-20,1,,,,,,,,,,
11/2010,21-30,1,,,,,,,,,,
11/2011,1-10,7,,,,,,,,,,
11/2011,11-20,1,,,,,,,,,,
11/2011,21-30,1,,,,,,,,,,
11/2012,1-10,5,,,,,,,,,,
11/2012,11-20,3,,,,,,,,,,
11/2013,1-10,8,,,,,,,,,,
11/2013,11-20,1,,,,,,,,,,
11/2014,1-10,7,,,,,,,,,,
11/2014,11-20,1,,,,,,,,,,
11/2014,21-30,1,,,,,,,,,,
11/2015,1-10,7,,,,,,,,,,
11/2015,11-20,1,,,,,,,,,,
11/2015,21-30,1,,,,,,,,,,
11/2016,1-10,7,,,,,,,,,,
11/2016,11-20,3,,,,,,,,,,
11/2017,1-10,5,,,,,,,,,,
11/2017,11-20,3,,,,,,,,,,
11/2017,21-30,2,,,,,,,,,,
11/2018,1-10,7,,,,,,,,,,
11/2018,11-20,1,,,,,,,,,,
11/2019,1-10,3,,,,,,,,,,
11/2019,11-20,3,,,,,,,,,,
11/2019,21-30,3,,,,,,,,,,
11/2020,1-10,6,,,,,,,,,,
11/2020,11-20,1,,,,,,,,,,
11/2020,21-30,1,,,,,,,,,,
11/2021,1-10,6,,,,,,,,,,
11/2021,11-20,2,,,,,,,,,,
11/2022,1-10,7,,,,,,,,,,
11/2022,11-20,2,,,,,,,,,,
11/2022,21-30,1,,,,,,,,,,
11/2023,1-10,6,,,,,,,,,,
11/2023,11-20,6,,,,,,,,,,
11/2024,1-10,7,,,,,,,,,,
11/2024,11-20,3,,,,,,,,,,
11/2024,21-30,1,,,,,,,,,,
11/2025,1-10,7,,,,,,,,,,
11/2025,11-20,3,,,,,,,,,,
11/2025,21-30,1,,,,,,,,,,
12/1996,1-10,3,,,,,,,,,,
12/1996,11-20,2,,,,,,,,,,
12/1997,1-10,4,,,,,,,,,,
12/1998,1-10,2,,,,,,,,,,
12/1998,11-20,1,,,,,,,,,,
12/1998,21-30,1,,,,,,,,,,
12/1998,31-40,1,,,,,,,,,,
12/1999,1-10,4,,,,,,,,,,
12/1999,11-20,1,,,,,,,,,,
12/2000,1-10,2,,,,,,,,,,
12/2000,11-20,2,,,,,,,,,,
12/2000,21-30,1,,,,,,,,,,
12/2001,1-10,4,,,,,,,,,,
12/2001,11-20,3,,,,,,,,,,
12/2001,21-30,1,,,,,,,,,,
12/2002,1-10,4,,,,,,,,,,
12/2002,11-20,3,,,,,,,,,,
12/2003,1-10,4,,,,,,,,,,
12/2003,11-20,2,,,,,,,,,,
12/2003,21-30,1,,,,,,,,,,
12/2004,1-10,5,,,,,,,,,,
12/2004,11-20,2,,,,,,,,,,
12/2004,21-30,1,,,,,,,,,,
12/2005,1-10,5,,,,,,,,,,
12/2005,11-20,2,,,,,,,,,,
12/2006,1-10,7,,,,,,,,,,
12/2006,11-20,1,,,,,,,,,,
12/2006,21-30,1,,,,,,,,,,
12/2007,1-10,4,,,,,,,,,,
12/2007,11-20,3,,,,,,,,,,
12/2007,21-30,1,,,,,,,,,,
12/2008,1-10,5,,,,,,,,,,
12/2008,11-20,3,,,,,,,,,,
12/2008,21-30,1,,,,,,,,,,
12/2009,1-10,8,,,,,,,,,,
12/2009,11-20,2,,,,,,,,,,
12/2010,1-10,8,,,,,,,,,,
12/2010,11-20,2,,,,,,,,,,
12/2011,1-10,7,,,,,,,,,,
12/2011,11-20,2,,,,,,,,,,
12/2012,1-10,7,,,,,,,,,,
12/2012,11-20,1,,,,,,,,,,
12/2012,21-30,1,,,,,,,,,,
12/2013,1-10,5,,,,,,,,,,
12/2013,11-20,2,,,,,,,,,,
12/2013,21-30,1,,,,,,,,,,
12/2014,1-10,6,,,,,,,,,,
12/2014,11-20,2,,,,,,,,,,
12/2015,1-10,4,,,,,,,,,,
12/2015,11-20,4,,,,,,,,,,
12/2015,21-30,1,,,,,,,,,,
12/2015,31-40,1,,,,,,,,,,
12/2016,1-10,6,,,,,,,,,,
12/2016,11-20,3,,,,,,,,,,
12/2017,1-10,6,,,,,,,,,,
12/2017,11-20,2,,,,,,,,,,
12/2018,1-10,7,,,,,,,,,,
12/2018,11-20,2,,,,,,,,,,
12/2019,1-10,8,,,,,,,,,,
12/2020,1-10,3,,,,,,,,,,
12/2020,11-20,3,,,,,,,,,,
12/2020,21-30,1,,,,,,,,,,
12/2020,31-40,1,,,,,,,,,,
12/2021,1-10,7,,,,,,,,,,
12/2021,11-20,1,,,,,,,,,,
12/2022,1-10,5,,,,,,,,,,
12/2022,11-20,1,,,,,,,,,,
12/2023,1-10,6,,,,,,,,,,
12/2023,11-20,1,,,,,,,,,,
12/2023,21-30,1,,,,,,,,,,
12/2024,1-10,7,,,,,,,,,,
12/2024,11-20,1,,,,,,,,,,
12/2025,1-10,8,,,,,,,,,,
12/2025,21-30,1,,,,,,,,,,
01/1997,,,11-20,2,,,,,,,,
01/1997,,,21-30,2,,,,,,,,
01/1998,,,1-10,1,,,,,,,,
01/1998,,,11-20,2,,,,,,,,
01/1998,,,21-30,1,,,,,,,,
01/1999,,,11-20,3,,,,,,,,
01/1999,,,41-50,1,,,,,,,,
01/2000,,,11-20,2,,,,,,,,
01/2000,,,21-30,1,,,,,,,,
01/2000,,,31-40,1,,,,,,,,
01/2001,,,1-10,1,,,,,,,,
01/2001,,,11-20,2,,,,,,,,
01/2001,,,21-30,1,,,,,,,,
01/2002,,,1-10,2,,,,,,,,
01/2002,,,11-20,2,,,,,,,,
01/2002,,,21-30,3,,,,,,,,
01/2002,,,31-40,1,,,,,,,,
01/2003,,,1-10,1,,,,,,,,
01/2003,,,11-20,3,,,,,,,,
01/2003,,,21-30,3,,,,,,,,
01/2003,,,31-40,1,,,,,,,,
01/2004,,,1-10,4,,,,,,,,
01/2004,,,11-20,4,,,,,,,,
01/2004,,,21-30,1,,,,,,,,
01/2005,,,11-20,8,,,,,,,,
01/2006,,,1-10,1,,,,,,,,
01/2006,,,11-20,7,,,,,,,,
01/2007,,,1-10,1,,,,,,,,
01/2007,,,11-20,4,,,,,,,,
01/2007,,,21-30,2,,,,,,,,
01/2007,,,31-40,2,,,,,,,,
01/2008,,,1-10,1,,,,,,,,
01/2008,,,11-20,5,,,,,,,,
01/2008,,,21-30,2,,,,,,,,
01/2009,,,1-10,2,,,,,,,,
01/2009,,,11-20,4,,,,,,,,
01/2009,,,21-30,2,,,,,,,,
01/2009,,,31-40,1,,,,,,,,
01/2010,,,1-10,3,,,,,,,,
01/2010,,,11-20,2,,,,,,,,
01/2010,,,21-30,3,,,,,,,,
01/2010,,,31-40,1,,,,,,,,
01/2011,,,1-10,3,,,,,,,,
01/2011,,,11-20,2,,,,,,,,
01/2011,,,21-30,1,,,,,,,,
01/2011,,,31-40,2,,,,,,,,
01/2012,,,1-10,1,,,,,,,,
01/2012,,,11-20,6,,,,,,,,
01/2012,,,31-40,1,,,,,,,,
01/2013,,,1-10,4,,,,,,,,
01/2013,,,11-20,2,,,,,,,,
01/2013,,,21-30,2,,,,,,,,
01/2013,,,31-40,1,,,,,,,,
01/2014,,,1-10,2,,,,,,,,
01/2014,,,11-20,3,,,,,,,,
01/2014,,,21-30,2,,,,,,,,
01/2014,,,31-40,2,,,,,,,,
01/2015,,,1-10,3,,,,,,,,
01/2015,,,11-20,2,,,,,,,,
01/2015,,,21-30,3,,,,,,,,
01/2015,,,31-40,1,,,,,,,,
01/2016,,,1-10,3,,,,,,,,
01/2016,,,11-20,6,,,,,,,,
01/2016,,,21-30,1,,,,,,,,
01/2017,,,1-10,3,,,,,,,,
01/2017,,,11-20,2,,,,,,,,
01/2017,,,21-30,1,,,,,,,,
01/2017,,,31-40,2,,,,,,,,
01/2018,,,1-10,2,,,,,,,,
01/2018,,,11-20,2,,,,,,,,
01/2018,,,21-30,3,,,,,,,,
01/2018,,,31-40,2,,,,,,,,
01/2019,,,1-10,1,,,,,,,,
01/2019,,,11-20,4,,,,,,,,
01/2019,,,21-30,3,,,,,,,,
01/2019,,,31-40,1,,,,,,,,
01/2019,,,41-50,1,,,,,,,,
01/2020,,,1-10,2,,,,,,,,
01/2020,,,11-20,3,,,,,,,,
01/2020,,,21-30,3,,,,,,,,
01/2020,,,31-40,1,,,,,,,,
01/2021,,,1-10,2,,,,,,,,
01/2021,,,11-20,5,,,,,,,,
01/2021,,,21-30,2,,,,,,,,
01/2021,,,31-40,1,,,,,,,,
01/2022,,,1-10,2,,,,,,,,
01/2022,,,11-20,4,,,,,,,,
01/2022,,,21-30,2,,,,,,,,
01/2022,,,41-50,1,,,,,,,,
01/2023,,,1-10,2,,,,,,,,
01/2023,,,11-20,4,,,,,,,,
01/2023,,,21-30,3,,,,,,,,
01/2024,,,1-10,2,,,,,,,,
01/2024,,,11-20,8,,,,,,,,
01/2024,,,21-30,2,,,,,,,,
01/2025,,,1-10,1,,,,,,,,
01/2025,,,11-20,6,,,,,,,,
01/2025,,,21-30,4,,,,,,,,
01/2025,,,31-40,1,,,,,,,,
01/2026,,,1-10,4,,,,,,,,
01/2026,,,11-20,6,,,,,,,,
01/2026,,,21-30,3,,,,,,,,
02/1997,,,1-10,1,,,,,,,,
02/1997,,,11-20,2,,,,,,,,
02/1997,,,21-30,1,,,,,,,,
02/1998,,,1-10,1,,,,,,,,
02/1998,,,11-20,2,,,,,,,,
02/1998,,,21-30,1,,,,,,,,
02/1999,,,1-10,1,,,,,,,,
02/1999,,,21-30,3,,,,,,,,
02/2000,,,1-10,1,,,,,,,,
02/2000,,,11-20,1,,,,,,,,
02/2000,,,21-30,1,,,,,,,,
02/2000,,,31-40,1,,,,,,,,
02/2001,,,1-10,2,,,,,,,,
02/2001,,,11-20,2,,,,,,,,
02/2002,,,1-10,2,,,,,,,,
02/2002,,,11-20,3,,,,,,,,
02/2002,,,21-30,2,,,,,,,,
02/2003,,,1-10,6,,,,,,,,
02/2003,,,11-20,2,,,,,,,,
02/2004,,,1-10,1,,,,,,,,
02/2004,,,11-20,3,,,,,,,,
02/2004,,,21-30,3,,,,,,,,
02/2005,,,1-10,1,,,,,,,,
02/2005,,,11-20,3,,,,,,,,
02/2005,,,21-30,1,,,,,,,,
02/2005,,,31-40,2,,,,,,,,
02/2006,,,1-10,1,,,,,,,,
02/2006,,,11-20,4,,,,,,,,
02/2006,,,21-30,3,,,,,,,,
02/2007,,,1-10,2,,,,,,,,
02/2007,,,11-20,2,,,,,,,,
02/2007,,,21-30,3,,,,,,,,
02/2008,,,1-10,4,,,,,,,,
02/2008,,,11-20,2,,,,,,,,
02/2008,,,21-30,1,,,,,,,,
02/2008,,,31-40,1,,,,,,,,
02/2009,,,1-10,4,,,,,,,,
02/2009,,,11-20,2,,,,,,,,
02/2009,,,21-30,1,,,,,,,,
02/2009,,,31-40,1,,,,,,,,
02/2010,,,1-10,1,,,,,,,,
02/2010,,,11-20,4,,,,,,,,
02/2010,,,21-30,3,,,,,,,,
02/2011,,,1-10,2,,,,,,,,
02/2011,,,11-20,2,,,,,,,,
02/2011,,,21-30,3,,,,,,,,
02/2011,,,31-40,1,,,,,,,,
02/2012,,,1-10,1,,,,,,,,
02/2012,,,11-20,3,,,,,,,,
02/2012,,,21-30,3,,,,,,,,
02/2012,,,31-40,1,,,,,,,,
02/2013,,,1-10,2,,,,,,,,
02/2013,,,11-20,3,,,,,,,,
02/2013,,,21-30,2,,,,,,,,
02/2013,,,31-40,1,,,,,,,,
02/2014,,,1-10,1,,,,,,,,
02/2014,,,11-20,4,,,,,,,,
02/2014,,,21-30,3,,,,,,,,
02/2015,,,1-10,3,,,,,,,,
02/2015,,,11-20,4,,,,,,,,
02/2015,,,31-40,1,,,,,,,,
02/2016,,,1-10,3,,,,,,,,
02/2016,,,11-20,5,,,,,,,,
02/2016,,,21-30,1,,,,,,,,
02/2017,,,1-10,2,,,,,,,,
02/2017,,,11-20,3,,,,,,,,
02/2017,,,21-30,3,,,,,,,,
02/2017,,,31-40,1,,,,,,,,
02/2018,,,1-10,2,,,,,,,,
02/2018,,,11-20,3,,,,,,,,
02/2018,,,21-30,3,,,,,,,,
02/2018,,,31-40,1,,,,,,,,
02/2019,,,1-10,2,,,,,,,,
02/2019,,,11-20,6,,,,,,,,
02/2019,,,31-40,1,,,,,,,,
02/2020,,,1-10,2,,,,,,,,
02/2020,,,11-20,5,,,,,,,,
02/2020,,,21-30,1,,,,,,,,
02/2020,,,31-40,1,,,,,,,,
02/2021,,,1-10,4,,,,,,,,
02/2021,,,11-20,3,,,,,,,,
02/2021,,,31-40,1,,,,,,,,
02/2022,,,1-10,2,,,,,,,,
02/2022,,,11-20,3,,,,,,,,
02/2022,,,21-30,1,,,,,,,,
02/2022,,,31-40,3,,,,,,,,
02/2023,,,1-10,3,,,,,,,,
02/2023,,,11-20,3,,,,,,,,
02/2023,,,21-30,3,,,,,,,,
02/2024,,,1-10,2,,,,,,,,
02/2024,,,11-20,6,,,,,,,,
02/2024,,,21-30,3,,,,,,,,
02/2024,,,31-40,1,,,,,,,,
02/2025,,,1-10,4,,,,,,,,
02/2025,,,11-20,4,,,,,,,,
02/2025,,,21-30,3,,,,,,,,
02/2025,,,31-40,1,,,,,,,,
02/2026,,,1-10,6,,,,,,,,
02/2026,,,11-20,2,,,,,,,,
02/2026,,,21-30,2,,,,,,,,
02/2026,,,31-40,1,,,,,,,,
03/1996,,,1-10,1,,,,,,,,
03/1996,,,11-20,1,,,,,,,,
03/1996,,,31-40,1,,,,,,,,
03/1997,,,1-10,2,,,,,,,,
03/1997,,,11-20,2,,,,,,,,
03/1997,,,21-30,1,,,,,,,,
03/1998,,,1-10,2,,,,,,,,
03/1998,,,11-20,2,,,,,,,,
03/1998,,,21-30,1,,,,,,,,
03/1999,,,11-20,4,,,,,,,,
03/2000,,,11-20,2,,,,,,,,
03/2000,,,21-30,1,,,,,,,,
03/2000,,,31-40,1,,,,,,,,
03/2001,,,1-10,2,,,,,,,,
03/2001,,,11-20,3,,,,,,,,
03/2002,,,1-10,3,,,,,,,,
03/2002,,,11-20,3,,,,,,,,
03/2002,,,21-30,3,,,,,,,,
03/2003,,,1-10,2,,,,,,,,
03/2003,,,11-20,4,,,,,,,,
03/2003,,,21-30,2,,,,,,,,
03/2004,,,1-10,2,,,,,,,,
03/2004,,,11-20,4,,,,,,,,
03/2004,,,21-30,1,,,,,,,,
03/2004,,,31-40,1,,,,,,,,
03/2004,,,41-50,1,,,,,,,,
03/2005,,,11-20,2,,,,,,,,
03/2005,,,21-30,7,,,,,,,,
03/2006,,,1-10,4,,,,,,,,
03/2006,,,11-20,3,,,,,,,,
03/2006,,,21-30,2,,,,,,,,
03/2007,,,1-10,2,,,,,,,,
03/2007,,,11-20,4,,,,,,,,
03/2007,,,21-30,2,,,,,,,,
03/2007,,,31-40,1,,,,,,,,
03/2008,,,1-10,1,,,,,,,,
03/2008,,,11-20,3,,,,,,,,
03/2008,,,21-30,2,,,,,,,,
03/2008,,,41-50,3,,,,,,,,
03/2009,,,1-10,3,,,,,,,,
03/2009,,,11-20,4,,,,,,,,
03/2009,,,21-30,1,,,,,,,,
03/2010,,,1-10,3,,,,,,,,
03/2010,,,11-20,2,,,,,,,,
03/2010,,,21-30,3,,,,,,,,
03/2010,,,31-40,1,,,,,,,,
03/2011,,,1-10,4,,,,,,,,
03/2011,,,11-20,5,,,,,,,,
03/2012,,,1-10,3,,,,,,,,
03/2012,,,11-20,2,,,,,,,,
03/2012,,,21-30,4,,,,,,,,
03/2012,,,31-40,1,,,,,,,,
03/2013,,,1-10,3,,,,,,,,
03/2013,,,11-20,3,,,,,,,,
03/2013,,,21-30,2,,,,,,,,
03/2013,,,41-50,1,,,,,,,,
03/2014,,,1-10,4,,,,,,,,
03/2014,,,11-20,1,,,,,,,,
03/2014,,,21-30,1,,,,,,,,
03/2014,,,31-40,2,,,,,,,,
03/2014,,,41-50,1,,,,,,,,
03/2015,,,1-10,1,,,,,,,,
03/2015,,,11-20,4,,,,,,,,
03/2015,,,21-30,3,,,,,,,,
03/2016,,,1-10,4,,,,,,,,
03/2016,,,11-20,3,,,,,,,,
03/2016,,,21-30,2,,,,,,,,
03/2016,,,41-50,1,,,,,,,,
03/2017,,,1-10,3,,,,,,,,
03/2017,,,11-20,4,,,,,,,,
03/2017,,,21-30,1,,,,,,,,
03/2017,,,31-40,1,,,,,,,,
03/2018,,,1-10,1,,,,,,,,
03/2018,,,11-20,3,,,,,,,,
03/2018,,,21-30,3,,,,,,,,
03/2018,,,31-40,1,,,,,,,,
03/2018,,,41-50,1,,,,,,,,
03/2019,,,1-10,3,,,,,,,,
03/2019,,,11-20,4,,,,,,,,
03/2019,,,21-30,2,,,,,,,,
03/2020,,,1-10,4,,,,,,,,
03/2020,,,11-20,3,,,,,,,,
03/2020,,,21-30,1,,,,,,,,
03/2020,,,41-50,1,,,,,,,,
03/2021,,,1-10,2,,,,,,,,
03/2021,,,11-20,3,,,,,,,,
03/2021,,,21-30,4,,,,,,,,
03/2022,,,1-10,4,,,,,,,,
03/2022,,,11-20,4,,,,,,,,
03/2022,,,21-30,1,,,,,,,,
03/2023,,,1-10,2,,,,,,,,
03/2023,,,11-20,5,,,,,,,,
03/2023,,,21-30,1,,,,,,,,
03/2023,,,31-40,2,,,,,,,,
03/2024,,,1-10,2,,,,,,,,
03/2024,,,11-20,9,,,,,,,,
03/2024,,,21-30,1,,,,,,,,
03/2025,,,1-10,4,,,,,,,,
03/2025,,,11-20,3,,,,,,,,
03/2025,,,21-30,2,,,,,,,,
03/2025,,,31-40,3,,,,,,,,
03/2026,,,1-10,2,,,,,,,,
03/2026,,,11-20,7,,,,,,,,
03/2026,,,21-30,3,,,,,,,,
03/2026,,,31-40,1,,,,,,,,
04/1996,,,1-10,3,,,,,,,,
04/1996,,,11-20,2,,,,,,,,
04/1997,,,1-10,1,,,,,,,,
04/1997,,,11-20,2,,,,,,,,
04/1997,,,21-30,1,,,,,,,,
04/1998,,,11-20,2,,,,,,,,
04/1998,,,21-30,1,,,,,,,,
04/1998,,,31-40,1,,,,,,,,
04/1999,,,1-10,1,,,,,,,,
04/1999,,,21-30,3,,,,,,,,
04/2000,,,1-10,1,,,,,,,,
04/2000,,,11-20,2,,,,,,,,
04/2000,,,21-30,2,,,,,,,,
04/2001,,,1-10,2,,,,,,,,
04/2001,,,11-20,1,,,,,,,,
04/2001,,,21-30,1,,,,,,,,
04/2002,,,11-20,6,,,,,,,,
04/2002,,,21-30,2,,,,,,,,
04/2003,,,1-10,1,,,,,,,,
04/2003,,,11-20,7,,,,,,,,
04/2003,,,21-30,1,,,,,,,,
04/2004,,,1-10,1,,,,,,,,
04/2004,,,11-20,2,,,,,,,,
04/2004,,,21-30,4,,,,,,,,
04/2004,,,41-50,1,,,,,,,,
04/2005,,,1-10,3,,,,,,,,
04/2005,,,11-20,3,,,,,,,,
04/2005,,,21-30,2,,,,,,,,
04/2005,,,31-40,1,,,,,,,,
04/2006,,,1-10,3,,,,,,,,
04/2006,,,11-20,2,,,,,,,,
04/2006,,,21-30,3,,,,,,,,
04/2006,,,31-40,1,,,,,,,,
04/2007,,,1-10,3,,,,,,,,
04/2007,,,11-20,3,,,,,,,,
04/2007,,,21-30,1,,,,,,,,
04/2007,,,31-40,1,,,,,,,,
04/2008,,,1-10,2,,,,,,,,
04/2008,,,11-20,5,,,,,,,,
04/2008,,,21-30,2,,,,,,,,
04/2009,,,1-10,3,,,,,,,,
04/2009,,,11-20,3,,,,,,,,
04/2009,,,21-30,3,,,,,,,,
04/2010,,,1-10,5,,,,,,,,
04/2010,,,11-20,3,,,,,,,,
04/2010,,,21-30,1,,,,,,,,
04/2011,,,1-10,2,,,,,,,,
04/2011,,,11-20,6,,,,,,,,
04/2011,,,21-30,1,,,,,,,,
04/2012,,,1-10,3,,,,,,,,
04/2012,,,11-20,4,,,,,,,,
04/2012,,,21-30,1,,,,,,,,
04/2013,,,1-10,3,,,,,,,,
04/2013,,,11-20,2,,,,,,,,
04/2013,,,21-30,2,,,,,,,,
04/2013,,,31-40,1,,,,,,,,
04/2014,,,1-10,5,,,,,,,,
04/2014,,,11-20,2,,,,,,,,
04/2014,,,21-30,1,,,,,,,,
04/2014,,,31-40,1,,,,,,,,
04/2015,,,1-10,2,,,,,,,,
04/2015,,,11-20,4,,,,,,,,
04/2015,,,21-30,2,,,,,,,,
04/2015,,,31-40,1,,,,,,,,
04/2016,,,1-10,1,,,,,,,,
04/2016,,,11-20,6,,,,,,,,
04/2016,,,21-30,2,,,,,,,,
04/2017,,,11-20,4,,,,,,,,
04/2017,,,21-30,3,,,,,,,,
04/2017,,,31-40,2,,,,,,,,
04/2018,,,1-10,1,,,,,,,,
04/2018,,,11-20,4,,,,,,,,
04/2018,,,21-30,2,,,,,,,,
04/2018,,,31-40,1,,,,,,,,
04/2019,,,1-10,1,,,,,,,,
04/2019,,,11-20,5,,,,,,,,
04/2019,,,21-30,1,,,,,,,,
04/2019,,,31-40,1,,,,,,,,
04/2020,,,1-10,3,,,,,,,,
04/2020,,,11-20,4,,,,,,,,
04/2020,,,31-40,2,,,,,,,,
04/2021,,,1-10,1,,,,,,,,
04/2021,,,11-20,4,,,,,,,,
04/2021,,,21-30,3,,,,,,,,
04/2021,,,31-40,2,,,,,,,,
04/2022,,,1-10,1,,,,,,,,
04/2022,,,11-20,2,,,,,,,,
04/2022,,,21-30,3,,,,,,,,
04/2022,,,31-40,4,,,,,,,,
04/2023,,,1-10,4,,,,,,,,
04/2023,,,11-20,4,,,,,,,,
04/2023,,,21-30,1,,,,,,,,
04/2024,,,1-10,2,,,,,,,,
04/2024,,,11-20,5,,,,,,,,
04/2024,,,21-30,5,,,,,,,,
04/2024,,,31-40,1,,,,,,,,
04/2025,,,1-10,4,,,,,,,,
04/2025,,,11-20,6,,,,,,,,
04/2025,,,21-30,1,,,,,,,,
04/2026,,,1-10,2,,,,,,,,
04/2026,,,11-20,5,,,,,,,,
04/2026,,,21-30,4,,,,,,,,
05/1996,,,11-20,2,,,,,,,,
05/1996,,,21-30,1,,,,,,,,
05/1996,,,41-50,1,,,,,,,,
05/1997,,,1-10,1,,,,,,,,
05/1997,,,11-20,2,,,,,,,,
05/1997,,,21-30,1,,,,,,,,
05/1998,,,1-10,1,,,,,,,,
05/1998,,,11-20,2,,,,,,,,
05/1998,,,21-30,2,,,,,,,,
05/1999,,,1-10,1,,,,,,,,
05/1999,,,11-20,4,,,,,,,,
05/2000,,,11-20,2,,,,,,,,
05/2000,,,21-30,2,,,,,,,,
05/2001,,,1-10,2,,,,,,,,
05/2001,,,11-20,1,,,,,,,,
05/2001,,,21-30,1,,,,,,,,
05/2002,,,11-20,3,,,,,,,,
05/2002,,,21-30,5,,,,,,,,
05/2003,,,1-10,1,,,,,,,,
05/2003,,,11-20,5,,,,,,,,
05/2003,,,21-30,3,,,,,,,,
05/2004,,,1-10,1,,,,,,,,
05/2004,,,11-20,5,,,,,,,,
