mes_ano,faixa_Bola1,count_faixa_bola1,faixa_Bola2,count_faixa_bola2,faixa_Bola3,count_faixa_bola3,faixa_Bola4,count_faixa_bola4,faixa_Bola5,count_faixa_bola5,faixa_Bola6,count_faixa_bola6
03/2002,1-10,6,,,,,,,,,,
03/2002,11-20,3,,,,,,,,,,
03/2003,1-10,6,,,,,,,,,,
03/2003,11-20,2,,,,,,,,,,
03/2004,1-10,4,,,,,,,,,,
03/2004,11-20,4,,,,,,,,,,
03/2004,31-40,1,,,,,,,,,,
03/2005,1-10,5,,,,,,,,,,
03/2005,11-20,3,,,,,,,,,,
03/2005,21-30,1,,,,,,,,,,
03/2006,1-10,8,,,,,,,,,,
03/2006,11-20,1,,,,,,,,,,
03/2007,1-10,6,,,,,,,,,,
03/2007,11-20,2,,,,,,,,,,
03/2007,21-30,1,,,,,,,,,,
03/2008,1-10,5,,,,,,,,,,
03/2008,11-20,1,,,,,,,,,,
03/2008,21-30,2,,,,,,,,,,
03/2008,41-50,1,,,,,,,,,,
03/2009,1-10,4,,,,,,,,,,
03/2009,11-20,4,,,,,,,,,,
03/2010,1-10,5,,,,,,,,,,
03/2010,11-20,2,,,,,,,,,,
03/2010,21-30,2,,,,,,,,,,
03/2011,1-10,8,,,,,,,,,,
03/2011,11-20,1,,,,,,,,,,
03/2012,1-10,9,,,,,,,,,,
03/2012,11-20,1,,,,,,,,,,
03/2013,1-10,6,,,,,,,,,,
03/2013,11-20,2,,,,,,,,,,
03/2013,21-30,1,,,,,,,,,,
03/2014,1-10,7,,,,,,,,,,
03/2014,11-20,1,,,,,,,,,,
03/2014,21-30,1,,,,,,,,,,
03/2015,1-10,5,,,,,,,,,,
03/2015,11-20,2,,,,,,,,,,
03/2015,21-30,1,,,,,,,,,,
03/2016,1-10,7,,,,,,,,,,
03/2016,11-20,1,,,,,,,,,,
03/2016,21-30,2,,,,,,,,,,
03/2017,1-10,6,,,,,,,,,,
03/2017,11-20,3,,,,,,,,,,
03/2018,1-10,6,,,,,,,,,,
03/2018,11-20,2,,,,,,,,,,
03/2018,21-30,1,,,,,,,,,,
03/2019,1-10,7,,,,,,,,,,
03/2019,11-20,2,,,,,,,,,,
03/2020,1-10,7,,,,,,,,,,
03/2020,11-20,2,,,,,,,,,,
03/2021,1-10,6,,,,,,,,,,
03/2021,11-20,2,,,,,,,,,,
03/2021,21-30,1,,,,,,,,,,
03/2022,1-10,6,,,,,,,,,,
03/2022,11-20,3,,,,,,,,,,
03/2023,1-10,6,,,,,,,,,,
03/2023,11-20,2,,,,,,,,,,
03/2023,21-30,1,,,,,,,,,,
03/2023,31-40,1,,,,,,,,,,
03/2024,1-10,11,,,,,,,,,,
03/2024,11-20,1,,,,,,,,,,
03/2025,1-10,11,,,,,,,,,,
03/2025,21-30,1,,,,,,,,,,
03/2026,1-10,9,,,,,,,,,,
03/2026,11-20,3,,,,,,,,,,
03/2026,21-30,1,,,,,,,,,,
04/1996,1-10,5,,,,,,,,,,
04/1997,1-10,3,,,,,,,,,,
04/1997,11-20,1,,,,,,,,,,
04/1998,1-10,2,,,,,,,,,,
04/1998,11-20,2,,,,,,,,,,
04/1999,1-10,3,,,,,,,,,,
04/1999,21-30,1,,,,,,,,,,
04/2000,1-10,4,,,,,,,,,,
04/2000,11-20,1,,,,,,,,,,
04/2001,1-10,3,,,,,,,,,,
04/2001,11-20,1,,,,,,,,,,
04/2002,1-10,6,,,,,,,,,,
04/2002,11-20,2,,,,,,,,,,
04/2003,1-10,5,,,,,,,,,,
04/2003,11-20,4,,,,,,,,,,
04/2004,1-10,6,,,,,,,,,,
04/2004,11-20,2,,,,,,,,,,
04/2005,1-10,6,,,,,,,,,,
04/2005,11-20,2,,,,,,,,,,
04/2005,31-40,1,,,,,,,,,,
04/2006,1-10,7,,,,,,,,,,
04/2006,11-20,1,,,,,,,,,,
04/2006,21-30,1,,,,,,,,,,
04/2007,1-10,6,,,,,,,,,,
04/2007,11-20,1,,,,,,,,,,
04/2007,31-40,1,,,,,,,,,,
04/2008,1-10,7,,,,,,,,,,
04/2008,11-20,1,,,,,,,,,,
04/2008,21-30,1,,,,,,,,,,
04/2009,1-10,8,,,,,,,,,,
04/2009,21-30,1,,,,,,,,,,
04/2010,1-10,7,,,,,,,,,,
04/2010,11-20,2,,,,,,,,,,
04/2011,1-10,5,,,,,,,,,,
04/2011,11-20,4,,,,,,,,,,
04/2012,1-10,7,,,,,,,,,,
04/2012,11-20,1,,,,,,,,,,
04/2013,1-10,7,,,,,,,,,,
04/2013,11-20,1,,,,,,,,,,
04/2014,1-10,7,,,,,,,,,,
04/2014,21-30,1,,,,,,,,,,
04/2014,31-40,1,,,,,,,,,,
04/2015,1-10,5,,,,,,,,,,
04/2015,11-20,3,,,,,,,,,,
04/2015,21-30,1,,,,,,,,,,
04/2016,1-10,6,,,,,,,,,,
04/2016,11-20,3,,,,,,,,,,
04/2017,1-10,4,,,,,,,,,,
04/2017,11-20,4,,,,,,,,,,
04/2017,21-30,1,,,,,,,,,,
04/2018,1-10,6,,,,,,,,,,
04/2018,11-20,1,,,,,,,,,,
04/2018,21-30,1,,,,,,,,,,
04/2019,1-10,5,,,,,,,,,,
04/2019,11-20,3,,,,,,,,,,
04/2020,1-10,6,,,,,,,,,,
04/2020,11-20,1,,,,,,,,,,
04/2020,21-30,1,,,,,,,,,,
04/2020,31-40,1,,,,,,,,,,
04/2021,1-10,7,,,,,,,,,,
04/2021,11-20,2,,,,,,,,,,
04/2021,31-40,1,,,,,,,,,,
04/2022,1-10,6,,,,,,,,,,
04/2022,11-20,2,,,,,,,,,,
04/2022,21-30,2,,,,,,,,,,
04/2023,1-10,7,,,,,,,,,,
04/2023,11-20,2,,,,,,,,,,
04/2024,1-10,9,,,,,,,,,,
04/2024,11-20,4,,,,,,,,,,
04/2025,1-10,9,,,,,,,,,,
04/2025,11-20,2,,,,,,,,,,
04/2026,1-10,8,,,,,,,,,,
04/2026,11-20,2,,,,,,,,,,
04/2026,21-30,1,,,,,,,,,,
05/1996,1-10,3,,,,,,,,,,
05/1996,11-20,1,,,,,,,,,,
05/1997,1-10,4,,,,,,,,,,
05/1998,1-10,4,,,,,,,,,,
05/1998,11-20,1,,,,,,,,,,
05/1999,1-10,4,,,,,,,,,,
05/1999,11-20,1,,,,,,,,,,
05/2000,11-20,3,,,,,,,,,,
05/2000,21-30,1,,,,,,,,,,
05/2001,1-10,3,,,,,,,,,,
05/2001,11-20,1,,,,,,,,,,
05/2002,1-10,2,,,,,,,,,,
05/2002,11-20,5,,,,,,,,,,
05/2002,21-30,1,,,,,,,,,,
05/2003,1-10,5,,,,,,,,,,
05/2003,11-20,4,,,,,,,,,,
05/2004,1-10,7,,,,,,,,,,
05/2004,11-20,2,,,,,,,,,,
05/2005,1-10,8,,,,,,,,,,
05/2006,1-10,6,,,,,,,,,,
05/2006,11-20,3,,,,,,,,,,
05/2007,1-10,5,,,,,,,,,,
05/2007,11-20,1,,,,,,,,,,
05/2007,21-30,3,,,,,,,,,,
05/2008,1-10,6,,,,,,,,,,
05/2008,11-20,3,,,,,,,,,,
05/2009,1-10,9,,,,,,,,,,
05/2010,1-10,4,,,,,,,,,,
05/2010,11-20,3,,,,,,,,,,
05/2010,31-40,1,,,,,,,,,,
05/2011,1-10,6,,,,,,,,,,
05/2011,11-20,2,,,,,,,,,,
05/2012,1-10,5,,,,,,,,,,
05/2012,11-20,2,,,,,,,,,,
05/2012,21-30,2,,,,,,,,,,
05/2013,1-10,8,,,,,,,,,,
05/2013,11-20,1,,,,,,,,,,
05/2014,1-10,7,,,,,,,,,,
05/2014,11-20,1,,,,,,,,,,
05/2014,21-30,1,,,,,,,,,,
05/2015,1-10,5,,,,,,,,,,
05/2015,11-20,4,,,,,,,,,,
05/2015,21-30,1,,,,,,,,,,
05/2016,1-10,7,,,,,,,,,,
05/2016,11-20,2,,,,,,,,,,
05/2017,1-10,10,,,,,,,,,,
05/2018,1-10,6,,,,,,,,,,
05/2018,11-20,3,,,,,,,,,,
05/2018,21-30,1,,,,,,,,,,
05/2019,1-10,5,,,,,,,,,,
05/2019,11-20,1,,,,,,,,,,
05/2019,21-30,3,,,,,,,,,,
05/2020,1-10,6,,,,,,,,,,
05/2020,11-20,4,,,,,,,,,,
05/2021,1-10,6,,,,,,,,,,
05/2021,11-20,2,,,,,,,,,,
05/2021,21-30,1,,,,,,,,,,
05/2022,1-10,7,,,,,,,,,,
05/2022,11-20,2,,,,,,,,,,
05/2023,1-10,7,,,,,,,,,,
05/2023,11-20,2,,,,,,,,,,
05/2023,31-40,1,,,,,,,,,,
05/2024,1-10,7,,,,,,,,,,
05/2024,11-20,3,,,,,,,,,,
