dezenas_combinadas,quantidade de vezes
1-10|31-40|31-40|41-50|41-50|51-60,10
1-10|21-30|41-50|51-60|51-60|51-60,10
1-10|11-20|11-20|11-20|21-30|31-40,10
1-10|1-10|11-20|11-20|51-60|51-60,10
21-30|31-40|41-50|51-60|51-60|51-60,10
1-10|1-10|11-20|21-30|51-60|51-60,10
11-20|31-40|41-50|51-60|51-60|51-60,10
1-10|1-10|11-20|11-20|21-30|31-40,10
1-10|1-10|1-10|31-40|41-50|51-60,10
11-20|21-30|41-50|41-50|51-60|51-60,10
1-10|1-10|31-40|31-40|41-50|41-50,10
1-10|1-10|11-20|11-20|41-50|41-50,10
1-10|1-10|21-30|21-30|31-40|41-50,10
1-10|1-10|1-10|11-20|21-30|31-40,10
1-10|1-10|21-30|41-50|41-50|51-60,10
11-20|11-20|21-30|31-40|31-40|51-60,10
11-20|11-20|21-30|21-30|31-40|51-60,10
1-10|21-30|21-30|41-50|41-50|51-60,10
1-10|1-10|21-30|21-30|41-50|51-60,10
21-30|21-30|31-40|31-40|41-50|51-60,9
11-20|11-20|11-20|21-30|41-50|51-60,9
1-10|11-20|21-30|51-60|51-60|51-60,9
11-20|21-30|21-30|31-40|51-60|51-60,9
1-10|11-20|21-30|21-30|21-30|41-50,9
1-10|1-10|1-10|11-20|21-30|51-60,9
1-10|1-10|11-20|41-50|41-50|51-60,9
11-20|11-20|31-40|31-40|41-50|51-60,9
1-10|1-10|11-20|11-20|41-50|51-60,9
1-10|1-10|11-20|11-20|31-40|51-60,9
11-20|11-20|21-30|21-30|41-50|51-60,9
1-10|11-20|11-20|11-20|21-30|41-50,8
11-20|21-30|21-30|21-30|31-40|51-60,8
1-10|11-20|41-50|41-50|41-50|51-60,8
11-20|21-30|21-30|21-30|41-50|51-60,8
1-10|21-30|21-30|21-30|31-40|51-60,8
1-10|11-20|11-20|31-40|31-40|31-40,8
11-20|21-30|41-50|51-60|51-60|51-60,8
11-20|11-20|21-30|41-50|51-60|51-60,8
1-10|11-20|31-40|31-40|31-40|41-50,8
1-10|31-40|31-40|31-40|41-50|51-60,8
1-10|1-10|21-30|21-30|41-50|41-50,8
1-10|11-20|31-40|51-60|51-60|51-60,8
1-10|21-30|21-30|21-30|41-50|51-60,8
1-10|11-20|31-40|31-40|51-60|51-60,8
1-10|11-20|11-20|11-20|31-40|41-50,8
11-20|21-30|21-30|41-50|41-50|51-60,7
1-10|11-20|11-20|21-30|51-60|51-60,7
21-30|31-40|31-40|31-40|41-50|51-60,7
21-30|21-30|31-40|31-40|41-50|41-50,7
1-10|1-10|41-50|41-50|51-60|51-60,7
1-10|1-10|11-20|21-30|21-30|31-40,7
21-30|21-30|21-30|31-40|41-50|51-60,7
21-30|21-30|21-30|31-40|31-40|41-50,7
1-10|1-10|1-10|11-20|21-30|41-50,7
1-10|1-10|1-10|11-20|41-50|51-60,7
1-10|1-10|1-10|11-20|31-40|41-50,7
11-20|11-20|41-50|41-50|51-60|51-60,7
11-20|21-30|21-30|21-30|31-40|41-50,7
11-20|11-20|21-30|21-30|31-40|31-40,7
11-20|31-40|41-50|41-50|51-60|51-60,6
21-30|41-50|41-50|51-60|51-60|51-60,6
11-20|21-30|21-30|21-30|41-50|41-50,6
1-10|11-20|21-30|21-30|21-30|31-40,6
1-10|21-30|31-40|41-50|41-50|41-50,6
1-10|1-10|11-20|11-20|21-30|41-50,6
1-10|11-20|11-20|11-20|21-30|51-60,6
11-20|11-20|31-40|51-60|51-60|51-60,6
1-10|21-30|41-50|41-50|41-50|51-60,6
11-20|31-40|31-40|41-50|41-50|51-60,6
1-10|11-20|21-30|21-30|21-30|51-60,6
11-20|11-20|11-20|21-30|31-40|51-60,6
11-20|11-20|31-40|31-40|31-40|51-60,6
11-20|11-20|11-20|31-40|41-50|41-50,6
11-20|11-20|21-30|21-30|41-50|41-50,6
1-10|1-10|11-20|21-30|21-30|21-30,6
1-10|31-40|41-50|51-60|51-60|51-60,6
11-20|31-40|41-50|41-50|41-50|51-60,6
11-20|21-30|31-40|31-40|31-40|41-50,5
21-30|21-30|21-30|41-50|51-60|51-60,5
1-10|1-10|1-10|31-40|31-40|51-60,5
11-20|11-20|31-40|31-40|31-40|41-50,5
21-30|21-30|21-30|31-40|51-60|51-60,5
11-20|11-20|21-30|51-60|51-60|51-60,5
1-10|1-10|21-30|21-30|21-30|51-60,5
11-20|21-30|31-40|41-50|41-50|41-50,5
11-20|21-30|41-50|41-50|41-50|51-60,5
1-10|1-10|11-20|11-20|11-20|41-50,5
11-20|21-30|31-40|31-40|31-40|51-60,5
1-10|1-10|11-20|11-20|31-40|31-40,5
11-20|11-20|41-50|41-50|41-50|51-60,5
11-20|11-20|21-30|21-30|21-30|41-50,5
1-10|1-10|21-30|21-30|21-30|31-40,5
1-10|21-30|21-30|21-30|31-40|41-50,5
1-10|21-30|21-30|41-50|41-50|41-50,5
1-10|31-40|31-40|51-60|51-60|51-60,5
11-20|11-20|31-40|41-50|41-50|41-50,5
11-20|21-30|31-40|51-60|51-60|51-60,5
1-10|1-10|31-40|31-40|31-40|41-50,5
1-10|31-40|31-40|41-50|41-50|41-50,4
1-10|1-10|1-10|21-30|31-40|31-40,4
1-10|1-10|1-10|41-50|51-60|51-60,4
11-20|11-20|31-40|31-40|41-50|41-50,4
1-10|11-20|11-20|11-20|51-60|51-60,4
1-10|41-50|41-50|51-60|51-60|51-60,4
11-20|21-30|21-30|41-50|41-50|41-50,4
1-10|11-20|11-20|11-20|41-50|41-50,4
21-30|21-30|21-30|31-40|41-50|41-50,4
11-20|11-20|41-50|51-60|51-60|51-60,4
1-10|1-10|1-10|21-30|31-40|41-50,4
11-20|11-20|11-20|21-30|41-50|41-50,4
1-10|11-20|11-20|11-20|21-30|21-30,4
1-10|1-10|21-30|21-30|31-40|51-60,4
1-10|31-40|31-40|31-40|51-60|51-60,4
1-10|1-10|11-20|51-60|51-60|51-60,4
31-40|31-40|31-40|41-50|51-60|51-60,4
11-20|31-40|31-40|41-50|41-50|41-50,4
21-30|21-30|31-40|51-60|51-60|51-60,4
21-30|21-30|41-50|41-50|41-50|51-60,4
11-20|21-30|41-50|41-50|41-50|41-50,4
1-10|1-10|11-20|41-50|41-50|41-50,4
1-10|1-10|41-50|41-50|41-50|51-60,4
31-40|31-40|41-50|41-50|51-60|51-60,4
1-10|1-10|1-10|1-10|11-20|31-40,4
1-10|21-30|31-40|51-60|51-60|51-60,4
1-10|1-10|1-10|11-20|21-30|21-30,4
21-30|21-30|41-50|41-50|51-60|51-60,4
1-10|11-20|31-40|31-40|31-40|51-60,4
1-10|1-10|11-20|11-20|21-30|21-30,4
11-20|31-40|31-40|51-60|51-60|51-60,3
1-10|1-10|11-20|11-20|11-20|51-60,3
1-10|1-10|21-30|21-30|51-60|51-60,3
1-10|1-10|1-10|11-20|41-50|41-50,3
1-10|1-10|1-10|21-30|21-30|51-60,3
1-10|1-10|31-40|41-50|41-50|41-50,3
21-30|21-30|31-40|31-40|51-60|51-60,3
11-20|11-20|11-20|21-30|21-30|41-50,3
1-10|1-10|21-30|21-30|31-40|31-40,3
11-20|31-40|31-40|31-40|51-60|51-60,3
21-30|21-30|21-30|41-50|41-50|51-60,3
21-30|31-40|31-40|31-40|41-50|41-50,3
1-10|1-10|1-10|31-40|41-50|41-50,3
1-10|11-20|21-30|41-50|41-50|41-50,3
1-10|11-20|11-20|11-20|41-50|51-60,3
11-20|31-40|31-40|31-40|41-50|41-50,3
11-20|11-20|21-30|21-30|51-60|51-60,3
1-10|21-30|21-30|21-30|41-50|41-50,3
1-10|31-40|31-40|31-40|31-40|41-50,3
1-10|1-10|1-10|11-20|31-40|51-60,3
1-10|1-10|1-10|21-30|31-40|51-60,3
1-10|1-10|1-10|21-30|21-30|41-50,3
11-20|11-20|21-30|31-40|31-40|31-40,3
21-30|21-30|21-30|31-40|31-40|51-60,3
1-10|11-20|11-20|21-30|21-30|21-30,3
11-20|11-20|21-30|41-50|41-50|41-50,3
1-10|1-10|11-20|11-20|11-20|31-40,3
11-20|11-20|11-20|21-30|31-40|31-40,3
21-30|31-40|31-40|51-60|51-60|51-60,3
11-20|21-30|21-30|31-40|31-40|31-40,3
21-30|41-50|41-50|41-50|51-60|51-60,3
11-20|11-20|11-20|31-40|31-40|41-50,3
1-10|1-10|1-10|1-10|11-20|41-50,3
1-10|21-30|41-50|41-50|41-50|41-50,3
1-10|1-10|1-10|11-20|11-20|31-40,3
1-10|1-10|21-30|31-40|31-40|31-40,3
1-10|11-20|21-30|21-30|21-30|21-30,3
1-10|1-10|1-10|21-30|21-30|31-40,3
1-10|41-50|41-50|41-50|41-50|51-60,3
1-10|21-30|21-30|51-60|51-60|51-60,3
11-20|11-20|11-20|21-30|51-60|51-60,3
31-40|31-40|31-40|41-50|41-50|51-60,3
1-10|21-30|21-30|31-40|31-40|31-40,3
1-10|1-10|1-10|21-30|41-50|41-50,3
1-10|1-10|1-10|11-20|11-20|41-50,2
1-10|41-50|51-60|51-60|51-60|51-60,2
11-20|11-20|11-20|31-40|51-60|51-60,2
1-10|41-50|41-50|41-50|51-60|51-60,2
21-30|21-30|31-40|31-40|31-40|41-50,2
31-40|31-40|41-50|51-60|51-60|51-60,2
11-20|41-50|41-50|51-60|51-60|51-60,2
11-20|11-20|11-20|11-20|21-30|41-50,2
31-40|31-40|31-40|31-40|51-60|51-60,2
21-30|21-30|21-30|41-50|41-50|41-50,2
1-10|11-20|11-20|11-20|11-20|41-50,2
